1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 
1 3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210 231 253 276 300 325 351 378 406 435 465 496 528 561 595 630 666 703 741 780 820 861 903 946 990 1035 1081 1128 1176 1225 1275 1326 1378 1431 1485 1540 1596 1653 1711 1770 1830 1891 1953 2016 2080 2145 2211 2278 2346 2415 2485 2556 2628 2701 2775 2850 2926 3003 3081 3160 3240 3321 3403 3486 3570 3655 3741 3828 3916 4005 4095 4186 4278 4371 4465 4560 4656 4753 4851 4950 5050 5151 5253 5356 5460 5565 5671 5778 5886 5995 6105 6216 6328 6441 6555 6670 6786 6903 7021 7140 7260 7381 7503 7626 7750 7875 8001 8128 8256 8385 8515 8646 8778 8911 9045 9180 9316 9453 9591 9730 9870 10011 10153 10296 10440 10585 10731 10878 11026 11175 11325 11476 11628 11781 11935 12090 12246 12403 12561 12720 12880 13041 13203 13366 13530 13695 13861 14028 14196 14365 14535 14706 14878 15051 15225 15400 15576 15753 15931 16110 16290 16471 16653 16836 17020 17205 17391 17578 17766 17955 18145 18336 18528 18721 18915 19110 19306 19503 19701 19900 20100 20301 
1 4 10 20 35 56 84 120 165 220 286 364 455 560 680 816 969 1140 1330 1540 1771 2024 2300 2600 2925 3276 3654 4060 4495 4960 5456 5984 6545 7140 7770 8436 9139 9880 10660 11480 12341 13244 14190 15180 16215 17296 18424 19600 20825 22100 23426 24804 26235 27720 29260 30856 32509 34220 35990 37820 39711 41664 43680 45760 47905 50116 52394 54740 57155 59640 62196 64824 67525 70300 73150 76076 79079 82160 85320 88560 91881 95284 98770 102340 105995 109736 113564 117480 121485 125580 129766 134044 138415 142880 147440 152096 156849 161700 166650 171700 176851 182104 187460 192920 198485 204156 209934 215820 221815 227920 234136 240464 246905 253460 260130 266916 273819 280840 287980 295240 302621 310124 317750 325500 333375 341376 349504 357760 366145 374660 383306 392084 400995 410040 419220 428536 437989 447580 457310 467180 477191 487344 497640 508080 518665 529396 540274 551300 562475 573800 585276 596904 608685 620620 632710 644956 657359 669920 682640 695520 708561 721764 735130 748660 762355 776216 790244 804440 818805 833340 848046 862924 877975 893200 908600 924176 939929 955860 971970 988260 1004731 1021384 1038220 1055240 1072445 1089836 1107414 1125180 1143135 1161280 1179616 1198144 1216865 1235780 1254890 1274196 1293699 1313400 1333300 1353400 1373701 
1 5 15 35 70 126 210 330 495 715 1001 1365 1820 2380 3060 3876 4845 5985 7315 8855 10626 12650 14950 17550 20475 23751 27405 31465 35960 40920 46376 52360 58905 66045 73815 82251 91390 101270 111930 123410 135751 148995 163185 178365 194580 211876 230300 249900 270725 292825 316251 341055 367290 395010 424270 455126 487635 521855 557845 595665 635376 677040 720720 766480 814385 864501 916895 971635 1028790 1088430 1150626 1215450 1282975 1353275 1426425 1502501 1581580 1663740 1749060 1837620 1929501 2024785 2123555 2225895 2331890 2441626 2555190 2672670 2794155 2919735 3049501 3183545 3321960 3464840 3612280 3764376 3921225 4082925 4249575 4421275 4598126 4780230 4967690 5160610 5359095 5563251 5773185 5989005 6210820 6438740 6672876 6913340 7160245 7413705 7673835 7940751 8214570 8495410 8783390 9078630 9381251 9691375 10009125 10334625 10668000 11009376 11358880 11716640 12082785 12457445 12840751 13232835 13633830 14043870 14463090 14891626 15329615 15777195 16234505 16701685 17178876 17666220 18163860 18671940 19190605 19720001 20260275 20811575 21374050 21947850 22533126 23130030 23738715 24359335 24992045 25637001 26294360 26964280 27646920 28342440 29051001 29772765 30507895 31256555 32018910 32795126 33585370 34389810 35208615 36041955 36890001 37752925 38630900 39524100 40432700 41356876 42296805 43252665 44224635 45212895 46217626 47239010 48277230 49332470 50404915 51494751 52602165 53727345 54870480 56031760 57211376 58409520 59626385 60862165 62117055 63391251 64684950 65998350 67331650 68685050 70058751 
1 6 21 56 126 252 462 792 1287 2002 3003 4368 6188 8568 11628 15504 20349 26334 33649 42504 53130 65780 80730 98280 118755 142506 169911 201376 237336 278256 324632 376992 435897 501942 575757 658008 749398 850668 962598 1086008 1221759 1370754 1533939 1712304 1906884 2118760 2349060 2598960 2869685 3162510 3478761 3819816 4187106 4582116 5006386 5461512 5949147 6471002 7028847 7624512 8259888 8936928 9657648 10424128 11238513 12103014 13019909 13991544 15020334 16108764 17259390 18474840 19757815 21111090 22537515 24040016 25621596 27285336 29034396 30872016 32801517 34826302 36949857 39175752 41507642 43949268 46504458 49177128 51971283 54891018 57940519 61124064 64446024 67910864 71523144 75287520 79208745 83291670 87541245 91962520 96560646 101340876 106308566 111469176 116828271 122391522 128164707 134153712 140364532 146803272 153476148 160389488 167549733 174963438 182637273 190578024 198792594 207288004 216071394 225150024 234531275 244222650 254231775 264566400 275234400 286243776 297602656 309319296 321402081 333859526 346700277 359933112 373566942 387610812 402073902 416965528 432295143 448072338 464306843 481008528 498187404 515853624 534017484 552689424 571880029 591600030 611860305 632671880 654045930 675993780 698526906 721656936 745395651 769754986 794747031 820384032 846678392 873642672 901289592 929632032 958683033 988455798 18963693 50220248 82239158 115034284 148619654 183009464 218218079 254260034 291150035 328902960 367533860 407057960 447490660 488847536 531144341 574397006 618621641 663834536 710052162 757291172 805568402 854900872 905305787 956800538 9402703 63130048 118000528 174032288 231243664 289653184 349279569 410141734 472258789 535650040 600334990 666333340 733664990 802350040 872408791 
1 7 28 84 210 462 924 1716 3003 5005 8008 12376 18564 27132 38760 54264 74613 100947 134596 177100 230230 296010 376740 475020 593775 736281 906192 1107568 1344904 1623160 1947792 2324784 2760681 3262623 3838380 4496388 5245786 6096454 7059052 8145060 9366819 10737573 12271512 13983816 15890700 18009460 20358520 22957480 25827165 28989675 32468436 36288252 40475358 45057474 50063860 55525372 61474519 67945521 74974368 82598880 90858768 99795696 109453344 119877472 131115985 143218999 156238908 170230452 185250786 201359550 218618940 237093780 256851595 277962685 300500200 324540216 350161812 377447148 406481544 437353560 470155077 504981379 541931236 581106988 622614630 666563898 713068356 762245484 814216767 869107785 927048304 988172368 52618392 120529256 192052400 267339920 346548665 429840335 517381580 609344100 705904746 807245622 913554188 25023364 141851635 264243157 392407864 526561576 666926108 813729380 967205528 127595016 295144749 470108187 652745460 843323484 42116078 249404082 465475476 690625500 925156775 169379425 423611200 688177600 963412000 249655776 547258432 856577728 177979809 511839335 858539612 218472724 592039666 979650478 381724380 798689908 230985051 679057389 143364232 624372760 122560164 638413788 172431272 725120696 297000725 888600755 500461060 133132940 787178870 463172650 161699556 883356492 628752143 398507129 193254160 13638192 860316584 733959256 635248848 564880880 523563913 512019711 530983404 581203652 663442810 778477094 927096748 110106212 328324291 582584325 873734360 202637320 570171180 977229140 424719800 913567336 444711677 19108683 637730324 301564860 11617022 768908194 574476596 429377468 334683255 291483793 300886496 364016544 482017072 656049360 887293024 176946208 526225777 936367511 408626300 944276340 544611330 210944670 944609660 746959700 619368491 
1 8 36 120 330 792 1716 3432 6435 11440 19448 31824 50388 77520 116280 170544 245157 346104 480700 657800 888030 1184040 1560780 2035800 2629575 3365856 4272048 5379616 6724520 8347680 10295472 12620256 15380937 18643560 22481940 26978328 32224114 38320568 45379620 53524680 62891499 73629072 85900584 99884400 115775100 133784560 154143080 177100560 202927725 231917400 264385836 300674088 341149446 386206920 436270780 491796152 553270671 621216192 696190560 778789440 869648208 969443904 78897248 198774720 329890705 473109704 629348612 799579064 984829850 186189400 404808340 641902120 898753715 176716400 477216600 801756816 151918628 529365776 935847320 373200880 843355957 348337336 890268572 471375560 93990190 760554088 473622444 235867928 50084695 919192480 846240784 834413152 887031544 7560800 199613200 466953120 813501785 243342120 760723700 370067800 75972546 883218168 796772356 821795720 963647355 227890512 620298376 146859952 813786060 627515440 594720968 722315984 17460733 487568920 140314380 983637864 25753942 275158024 740633500 431259000 356415775 525795200 949406400 637584000 600996000 850651776 397910208 254487936 432467745 944307080 802846692 21319416 613359082 593009560 974733940 773423848 4408899 683466288 826830520 451203280 573763444 212177232 384608504 109729200 406729925 295330680 795791740 928924680 716103550 179276200 340975756 224332248 853084391 251591520 444845680 458483872 318800456 52759712 688008560 252889440 776453353 288473064 819456468 400660120 64102930 842580024 769676772 879782984 208107275 790691600 664425960 867063280 437234460 414463600 839183400 752750736 197462413 216571096 854301420 155866280 167483302 936391496 510868092 940245560 274928815 566412608 867299104 231315648 713332720 369382080 256675104 433621312 959847089 896214600 304840900 249117240 793728570 4673240 949282900 696242600 315611091 
1 9 45 165 495 1287 3003 6435 12870 24310 43758 75582 125970 203490 319770 490314 735471 1081575 1562275 2220075 3108105 4292145 5852925 7888725 10518300 13884156 18156204 23535820 30260340 38608020 48903492 61523748 76904685 95548245 118030185 145008513 177232627 215553195 260932815 314457495 377348994 450978066 536878650 636763050 752538150 886322710 40465790 217566350 420494075 652411475 916797311 217471399 558620845 944827765 381098545 872894697 426165368 47381560 743572120 522361560 392009768 361453672 440350920 639125640 969016345 442126049 71474661 871053725 855883575 42072975 446881315 88783435 987537150 164253550 641470150 443226966 595145594 124511370 60358690 433559570 276915527 625252863 515521435 986896995 80887185 841441273 315063717 550931645 601016340 520208820 366449604 200862756 87894300 95455100 295068300 762021420 575523205 818865325 579589025 949656825 25629371 908847539 705619895 527415615 491062970 718953482 339251858 486111810 299897870 927413310 522134278 244450262 261910995 749479915 889794295 873432159 899186101 174344125 914977625 346236625 702652400 228447600 177854000 815438000 416434000 267085776 664995984 919483920 351951665 296258745 99105437 120424853 733783935 326793495 301527435 74951283 79360182 762826470 589656990 40860270 614623714 826800946 211409450 321138650 727868575 23199255 818990995 747915675 464019225 643295425 984271181 208603429 61687820 313279340 758125020 216608892 535409348 588169060 276177620 529067060 305520413 593993477 413449945 814110065 878212995 720793019 490469791 370252775 578360050 369051650 33477610 900540890 337775350 752238950 591422350 344173086 541635499 758206595 612508015 768374295 935857597 872249093 383117185 323362745 598291560 164704168 32003272 263318920 976651640 346033720 602708824 36330136 996177225 892391825 197232725 446349965 240078535 244751775 194034675 890277275 205888366 
1 10 55 220 715 2002 5005 11440 24310 48620 92378 167960 293930 497420 817190 1307504 2042975 3124550 4686825 6906900 10015005 14307150 20160075 28048800 38567100 52451256 70607460 94143280 124403620 163011640 211915132 273438880 350343565 445891810 563921995 708930508 886163135 101716330 362649145 677106640 54455634 505433700 42312350 679075400 431613550 317936260 358402050 575968400 996462475 648873950 565671261 783142660 341763505 286591270 667689815 540584512 966749880 14131440 757703560 280065120 672074888 33528560 473879480 113005120 82021465 524147514 595622175 466675900 322559475 364632450 811513765 900297200 887834350 52087900 693558050 136785016 731930610 856441980 916800670 350360240 627275767 252528630 768050065 754947060 835834245 677275518 992339235 543270880 144287220 664496040 30945644 231808400 319702700 415157800 710226100 472247520 47770725 866636050 446225075 395881900 421511271 330358810 35978705 563394320 54457290 773410772 112662630 598774440 898672310 826085620 348219898 592670160 854581155 604061070 493855365 367287524 266473625 440817750 355795375 702032000 404684400 633132000 810986000 626424000 42858000 309943776 974939760 894423680 246375345 542634090 641739527 762164380 495948315 822741810 124269245 199220528 278580710 41407180 631064170 671924440 286548154 113349100 324758550 645897200 373765775 396965030 215956025 963871700 427890925 71186350 55457531 264060960 325748780 639028120 397153140 613762032 149171380 737340440 13518060 542585120 848105533 442099010 855548955 669659020 547872015 268665034 759134825 129387600 707747650 76799300 110276910 10817800 348593150 100832100 692254450 36427536 578063035 336269630 948777645 717151940 653009537 525258630 908375815 231738560 830030120 994734288 26737560 290056480 266708120 612741840 215450664 251780800 247958025 140349850 337582575 783932540 24011075 268762850 462797525 353074800 558963166 
1 11 66 286 1001 3003 8008 19448 43758 92378 184756 352716 646646 1144066 1961256 3268760 5311735 8436285 13123110 20030010 30045015 44352165 64512240 92561040 131128140 183579396 254186856 348330136 472733756 635745396 847660528 121099408 471442973 917334783 481256778 190187286 76350421 178066751 540715896 217822536 272278170 777711870 820024220 499099620 930713170 248649430 607051480 183019880 179482355 828356305 394027566 177170226 518933731 805525001 473214816 13799328 980549208 994680648 752384208 32449328 704524216 738052776 211932256 324937376 406958841 931106355 526728530 993404430 315963905 680596355 492110120 392407320 280241670 332329570 25887620 162672636 894603246 751045226 667845896 18206136 645481903 898010533 666060598 421007658 256841903 934117421 926456656 469727536 614014756 278510796 309456440 541264840 860967540 276125340 986351440 458598960 506369685 373005735 819230810 215112710 636623981 966982791 2961496 566355816 620813106 394223878 506886508 105660948 4333258 830418878 178638776 771308936 625890091 229951161 723806526 91094050 357567675 798385425 154180800 856212800 260897200 894029200 705015200 331439200 374297200 684240976 659180736 553604416 799979761 342613851 984353378 746517758 242466073 65207883 189477128 388697656 667278366 708685546 339749716 11674156 298222310 411571410 736329960 382227160 755992935 152957965 368913990 332785690 760676615 831862965 887320496 151381456 477130236 116158356 513311496 127073528 276244908 13585348 27103408 569688528 417794061 859893071 715442026 385101046 932973061 201638095 960772920 90160520 797908170 874707470 984984380 995802180 344395330 445227430 137481880 173909416 751972451 88242081 37019726 754171666 407181203 932439833 840815648 72554208 902584328 897318616 924056176 214112656 480820776 93562616 309013280 560794080 808752105 949101955 286684530 70617070 94628145 363390995 826188520 179263320 738226486 
1 12 78 364 1365 4368 12376 31824 75582 167960 352716 705432 1352078 2496144 4457400 7726160 13037895 21474180 34597290 54627300 84672315 129024480 193536720 286097760 417225900 600805296 854992152 203322288 676056044 311801440 159461968 280561376 752004349 669339132 150595910 340783196 417133617 595200368 135916264 353738800 626016970 403728840 223753060 722852680 653565850 902215280 509266760 692286640 871768995 700125300 94152866 271323092 790256823 595781824 68996640 82795968 63345176 58025824 810410032 842859360 547383576 285436352 497368608 822305984 229264825 160371180 687099710 680504140 996468045 677064400 169174520 561581840 841823510 174153080 200040700 362713336 257316582 8361808 676207704 694413840 339895743 237906276 903966874 324974532 581816435 515933856 442390512 912118048 526132804 804643600 114100040 655364880 516332420 792457760 778809200 237408160 743777845 116783580 936014390 151127100 787751081 754733872 757695368 324051184 944864290 339088168 845974676 951635624 955968882 786387760 965026536 736335472 362225563 592176724 315983250 407077300 764644975 563030400 717211200 573424000 834321200 728350400 433365600 764804800 139102000 823342976 482523712 36128128 836107889 178721740 163075118 909592876 152058949 217266832 406743960 795441616 462719982 171405528 511155244 522829400 821051710 232623120 968953080 351180240 107173175 260131140 629045130 961830820 722507435 554370400 441690896 593072352 70202588 186360944 699672440 826745968 102990876 116576224 143679632 713368160 131162221 991055292 706497318 91598364 24571425 226209520 186982440 277142960 75051130 949758600 934742980 930545160 274940490 720167920 857649800 31559216 783531667 871773748 908793474 662965140 70146343 2586176 843401824 915956032 818540360 715858976 639915152 854027808 334848584 428411200 737424480 298218560 106970665 56072620 342757150 413374220 508002365 871393360 697581880 876845200 615071686 
